Gender,Dependant,Is_Employed,Is_Medically_Insured,Visit_Gym,Week_Days_sleep_time_avg,Weekends_sleep_time_avg,Age_group,Body_Composition,Educational_Level,Economic_Status,Duration_of_daily_exercise,Duration_of_daily_walking,Smoking_Habit,Habit_of_Snus,Habit_of_Paan_Masala,Habit_of_Alcohol,Habit_of_Energy_Drinks,Mobile_Application_for_Activity_Tracking,Mobile_Application_for_Diet_Tracking,Social_Participation_Type,Social_Participation_Duration,Consumption_of_Vegetables,Consumption_of_Fruits,Consumption_of_Junk_Fried_Foods,Consumption_of_Sweets,Consumption_of_Red_Meat,Consumption_of_BBQ_Foods,Consumption_of_Discritionary_Foods,Existing_Health_Problems,Hospitalization_History,Regular_Physician_Consultation,Negative_Lifestyle,Skipping_Diet,Food_Type,WFH_for_COVID,Sedentary_Lifestyle_due_to_COVID,Unhealthy_Lifestyle_due_to_COVID,Addiction_due_to_COVID,Depressive_State,class
0,1,4,0,0,8,8,1,1,2,5,2,0,1,0,1,1,2,0,0,1,0,0,0,2,2,2,2,2,14,0,1,0,1,0,0,0,0,0,1,2
1,1,0,0,0,6,8,1,3,0,0,3,0,0,0,2,0,2,0,0,1,0,0,2,2,2,2,1,1,14,0,0,1,2,0,1,0,0,1,1,2
1,2,2,1,0,9,9,0,2,5,0,2,0,1,0,1,2,2,0,0,1,0,0,2,2,2,1,1,1,14,0,0,1,1,0,1,1,0,0,1,2
0,3,2,1,0,6,7,0,2,5,5,3,3,1,1,1,1,2,0,0,2,1,0,0,2,0,2,2,0,13,0,0,1,1,0,2,0,0,0,0,2
0,3,10,0,0,10,10,0,3,1,0,3,3,1,0,2,1,2,0,0,1,1,0,0,2,2,2,1,0,19,0,1,1,1,0,2,1,0,0,1,2
1,1,2,1,0,7,8,0,3,5,0,3,3,2,0,1,2,2,0,0,0,1,0,0,2,2,2,2,2,35,0,0,0,2,0,1,0,0,0,0,3
1,1,2,1,0,8,8,0,3,5,0,2,0,2,0,1,1,2,0,0,0,1,0,0,2,2,2,2,2,14,0,0,0,2,0,2,0,0,0,0,3
0,3,2,1,0,10,10,0,2,1,5,3,3,1,0,1,1,2,0,0,1,0,0,0,2,2,2,2,2,17,0,1,0,2,0,1,1,0,0,1,2
1,2,2,1,0,8,8,0,3,5,0,3,0,1,0,1,2,2,0,0,1,1,0,0,2,2,2,2,2,35,0,0,0,2,0,1,0,0,0,0,3
0,2,8,0,0,7,7,0,1,2,0,3,0,1,0,1,1,2,0,0,0,1,0,0,2,2,1,1,2,1,0,0,0,1,0,0,1,0,0,1,2
0,2,5,1,0,7,8,0,0,5,5,3,1,1,0,2,2,2,1,0,0,1,0,0,2,2,2,2,2,2,0,0,0,2,0,0,1,0,0,1,2
0,2,10,1,0,8,8,0,0,5,5,3,3,1,0,1,1,2,0,0,1,1,2,0,2,2,2,2,2,2,0,1,0,1,0,1,0,0,0,1,2
1,4,8,0,0,6,6,0,0,0,5,3,4,1,0,2,1,2,1,0,0,0,2,2,2,2,2,1,2,14,0,0,1,2,0,1,0,0,0,0,2
0,3,10,0,0,8,10,0,1,5,5,3,3,1,0,2,2,2,0,0,1,0,0,2,2,2,1,1,2,24,0,0,1,2,0,2,1,0,0,1,2
1,1,10,0,0,5,12,0,1,2,0,3,1,2,0,1,2,2,0,0,0,1,0,2,2,2,2,1,2,7,0,0,0,2,0,0,0,0,0,1,2
0,1,10,1,0,8,16,0,0,5,0,2,0,1,0,1,1,2,0,0,1,0,0,0,2,2,2,1,2,37,0,0,0,1,0,0,0,0,0,0,4
1,1,8,0,1,8,16,0,0,0,0,1,4,1,0,2,1,0,1,0,0,1,0,0,2,0,1,1,0,14,1,1,0,2,0,2,1,1,0,1,2
1,1,8,0,1,8,16,0,0,0,0,1,4,1,0,2,1,0,1,0,1,1,0,0,2,0,1,1,0,14,1,1,0,1,0,2,1,1,0,1,2
0,4,10,1,0,6,7,0,0,4,0,2,0,1,0,1,1,2,0,0,1,0,0,2,2,2,1,1,2,14,1,0,0,1,0,0,0,0,0,1,2
0,1,10,1,0,8,16,0,0,5,0,2,0,1,0,1,1,2,0,0,1,0,0,0,2,2,2,1,2,37,0,0,0,1,0,0,0,0,0,0,4
1,1,8,0,1,8,16,0,0,2,0,0,4,1,0,1,1,2,1,0,2,1,0,0,2,2,2,1,2,1,0,0,0,1,0,0,1,0,0,0,2
0,2,2,0,0,7,14,0,0,5,5,2,3,0,0,1,2,2,1,0,0,1,0,0,2,2,2,2,0,37,0,0,1,2,1,1,0,0,0,1,2
1,4,0,1,0,6,6,1,2,5,5,3,4,1,0,1,1,1,0,0,0,1,0,0,2,2,2,1,2,29,0,0,0,1,0,2,1,0,0,0,2
1,2,2,0,0,7,8,0,3,5,5,3,0,1,0,2,1,2,1,1,1,0,2,0,2,2,2,2,2,22,0,1,1,2,0,2,1,1,0,1,2
0,2,4,1,0,7,7,1,3,0,0,0,4,1,0,1,1,1,0,0,0,0,0,0,2,2,1,1,2,29,1,1,0,1,0,2,0,0,0,0,1
0,1,8,1,0,7,8,0,3,0,0,2,1,1,0,1,1,1,0,0,0,1,0,0,2,2,2,1,2,14,0,0,0,1,0,0,0,0,0,0,4
1,3,2,1,0,8,8,0,3,2,0,3,3,2,0,1,1,2,0,0,2,0,2,2,2,2,2,2,2,14,0,0,1,2,0,2,1,1,0,1,2
1,1,0,1,0,7,16,0,3,5,5,3,3,1,0,1,2,0,1,0,0,1,0,0,2,2,1,1,2,22,0,0,0,2,1,2,1,1,0,0,2
1,1,2,1,1,6,7,0,2,5,5,0,0,2,0,1,2,2,0,0,1,0,0,0,2,2,2,2,2,14,0,1,0,2,0,0,0,0,0,1,3
1,2,10,0,0,7,8,0,3,4,0,3,0,0,0,1,2,2,0,0,1,0,0,0,2,2,2,2,2,22,0,0,1,2,0,0,1,0,0,1,2
1,1,5,0,1,7,7,0,3,2,1,3,3,2,0,2,1,2,0,0,0,0,0,0,2,0,2,1,1,32,0,1,0,2,0,2,1,0,0,1,3
0,3,6,1,0,7,8,0,2,5,1,3,3,1,0,1,2,2,0,0,0,1,0,0,1,1,1,2,2,15,0,0,0,1,0,2,0,0,0,0,2
1,3,2,1,0,8,15,0,2,5,1,3,3,1,0,2,2,2,0,0,1,0,0,0,2,2,2,1,2,14,0,1,0,1,0,2,0,0,0,0,1
1,1,2,0,0,6,7,1,3,3,1,3,3,1,0,1,1,1,0,0,0,0,0,0,2,0,2,1,1,14,0,1,0,2,0,1,1,0,0,1,2
0,3,4,0,0,6,5,1,3,0,1,2,3,1,0,1,1,1,0,0,0,1,0,0,2,2,2,2,2,15,0,1,0,2,0,2,0,0,0,0,2
1,1,2,1,0,7,9,0,2,2,1,3,3,2,0,1,2,2,0,0,1,1,0,2,2,2,2,2,2,2,0,1,0,1,0,2,1,0,0,1,2
1,1,8,0,1,8,10,0,0,2,5,0,1,1,1,2,1,2,1,0,2,1,0,2,1,2,2,2,2,14,0,0,0,1,0,0,0,0,0,0,2
1,1,0,0,0,6,7,0,2,2,1,2,3,0,0,1,1,1,0,0,2,0,0,2,1,2,1,1,2,14,0,0,0,2,0,1,0,0,0,0,3
1,2,2,1,0,5,5,0,3,2,1,3,0,0,0,1,2,1,0,0,0,1,0,0,2,2,2,2,2,35,0,1,0,1,0,2,0,0,0,1,1
0,2,8,0,0,7,8,0,1,2,1,3,3,1,0,1,1,2,1,0,2,1,0,2,2,2,2,1,2,14,0,1,0,2,0,0,0,0,0,0,2
1,3,2,1,1,7,9,0,3,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,2,2,2,2,2,22,0,0,1,2,0,2,1,1,1,1,2
0,2,10,0,0,8,9,0,3,2,1,2,3,1,0,2,1,2,1,0,1,0,0,0,2,1,2,1,2,14,0,0,0,2,0,2,1,0,0,1,2
0,3,8,0,1,7,8,0,1,1,5,2,4,1,0,1,2,2,0,1,0,1,0,0,2,0,2,2,2,31,0,1,0,2,0,1,0,0,0,1,2
0,4,2,1,0,6,7,0,3,4,5,3,3,1,0,1,1,2,0,0,0,0,0,0,2,2,2,2,2,14,1,0,0,0,0,2,1,1,0,1,2
1,2,2,0,0,7,7,0,1,2,1,3,0,1,0,1,1,2,0,0,0,0,0,0,2,2,2,1,2,37,0,0,1,2,0,2,0,0,0,1,2
1,3,8,0,0,7,7.5,0,2,2,5,3,1,1,0,1,1,1,1,0,0,1,0,0,2,2,2,1,2,35,0,0,1,1,1,2,1,0,0,1,2
0,3,10,1,0,8,8,0,0,2,1,3,0,1,0,1,2,2,0,0,1,1,0,0,2,2,2,2,2,37,0,0,0,2,0,1,1,0,0,1,2
1,3,0,1,0,8,10,2,2,2,1,2,0,0,0,1,1,1,0,0,1,0,0,2,1,2,1,1,2,35,0,1,0,1,0,1,0,0,0,0,1
1,2,2,1,0,6,16,0,3,2,1,3,0,2,0,1,2,2,0,0,1,0,0,0,2,2,2,2,2,34,0,0,1,0,0,2,0,0,1,1,3
0,2,2,1,0,8,9,0,1,2,5,3,3,1,0,1,1,1,0,0,0,1,0,0,2,1,1,1,2,14,0,0,0,1,0,2,1,0,0,1,2
0,2,5,1,0,8,10,0,2,2,1,3,2,1,0,1,1,2,0,0,1,0,0,0,2,2,2,2,2,22,0,0,1,2,0,1,1,0,0,1,2
0,4,8,1,0,6,8,0,1,2,1,2,3,1,0,1,1,2,0,0,1,1,0,0,2,2,2,1,2,14,0,0,1,2,0,1,1,0,0,0,2
0,2,1,1,0,10,10,0,2,2,1,3,3,2,0,1,2,2,1,0,0,0,0,0,2,2,2,2,2,22,0,0,0,1,0,1,1,0,0,1,2
1,3,8,1,0,5,6,0,3,0,1,3,3,2,0,1,1,2,0,0,2,1,0,0,2,2,2,2,2,22,0,0,1,1,0,1,1,0,0,1,2
1,4,2,1,0,7,8,0,3,5,1,3,2,0,0,1,1,1,1,0,0,1,0,0,2,2,2,1,2,14,0,0,0,2,0,2,1,0,0,0,2
0,1,8,0,0,6,7,0,3,5,1,2,3,1,0,2,1,2,0,0,0,0,0,0,2,2,2,1,2,24,0,0,0,2,0,0,0,0,0,1,2
0,1,4,0,0,8,8,1,3,0,1,3,3,1,0,2,1,2,0,0,1,0,0,0,2,1,2,1,2,28,0,1,0,1,0,0,0,0,0,1,2
1,4,2,0,0,7,7,0,1,2,0,3,0,1,0,1,1,1,0,0,1,0,2,2,1,2,2,1,2,37,0,0,1,2,0,1,1,0,0,1,2
0,3,2,1,0,8,9,0,0,2,1,3,3,1,0,1,2,2,1,0,1,0,0,0,2,2,2,2,2,14,0,0,1,2,0,2,1,0,0,1,2
0,3,2,1,0,5,6,0,1,5,0,3,1,2,0,1,2,2,0,0,2,1,0,0,2,2,2,2,2,2,0,0,1,2,0,2,1,0,0,0,2
1,1,10,0,0,7,8,0,2,2,1,3,0,1,0,1,1,2,0,0,0,1,0,0,2,2,2,1,2,37,0,0,1,2,0,0,1,0,0,1,2
0,3,4,1,0,7,7,1,0,2,1,2,0,1,0,1,1,2,0,0,1,0,0,0,1,2,2,2,2,3,0,1,0,1,0,0,0,0,0,1,1
1,3,0,1,0,6,6,2,1,3,1,3,3,1,0,0,2,2,0,0,1,0,0,0,1,0,2,2,2,14,0,1,1,0,0,1,0,0,0,1,1
0,1,10,1,0,6,6,0,1,2,0,3,3,1,0,1,1,1,0,1,0,0,0,0,1,2,1,1,2,35,0,0,0,1,0,2,1,0,0,1,2
0,4,8,0,1,7,7,0,0,5,1,2,0,1,0,1,1,2,0,0,0,1,0,0,2,2,2,2,2,14,0,0,0,2,0,2,1,0,0,1,2
1,5,2,0,0,7,8,0,3,1,1,3,3,1,0,1,1,2,1,0,1,1,0,2,2,2,1,2,2,22,0,0,0,2,0,2,1,0,0,1,2
0,2,2,0,0,9.6,10,0,2,5,1,3,4,1,0,1,1,2,1,0,0,1,0,0,2,2,1,2,2,14,0,0,0,2,1,1,1,0,0,0,2
1,3,2,1,1,8,16,0,3,5,0,2,0,1,0,1,1,2,0,0,0,1,0,2,2,2,2,1,2,22,0,0,1,1,1,2,1,0,0,0,2
1,5,2,0,0,7,9,0,2,1,5,3,1,1,0,1,1,2,0,0,0,1,0,2,2,2,1,1,2,14,1,0,0,2,1,0,0,0,0,0,2
0,5,2,0,0,6,8,0,0,5,5,3,2,1,0,1,1,2,1,0,0,1,0,2,2,2,1,1,2,14,0,0,0,2,1,1,0,0,0,0,2
1,4,0,1,0,8,8,1,3,5,1,1,4,1,0,1,1,2,0,0,2,1,0,0,2,2,1,1,2,22,0,0,0,1,1,2,0,0,0,0,3
1,2,2,0,0,6,8,0,3,2,1,3,3,1,0,1,2,2,0,0,0,1,0,0,2,2,1,1,2,14,0,0,1,2,1,2,1,0,0,1,2
1,3,2,0,0,8,9,1,3,1,1,3,3,1,0,1,1,2,1,0,0,1,0,0,2,2,1,1,2,23,1,1,1,2,1,1,1,0,0,1,2
1,2,2,1,0,8,8,1,2,1,1,0,1,1,0,1,2,1,0,0,0,1,0,0,1,2,2,1,1,14,0,0,0,2,1,0,0,1,0,0,4
0,5,8,1,0,8,16,0,0,2,1,3,0,1,1,1,1,1,1,0,0,1,0,0,2,2,1,1,2,0,1,0,0,0,1,2,1,1,0,1,2
0,1,4,1,0,8,9,0,0,1,5,2,3,1,0,1,1,2,1,0,0,0,0,0,2,2,1,1,2,14,0,1,0,1,1,2,0,0,0,0,2
1,3,2,0,0,6,7,1,3,1,5,3,1,2,0,1,2,2,0,0,0,0,0,0,2,2,2,2,2,7,0,1,1,1,1,0,0,0,0,1,2
0,2,2,1,0,7,16,0,1,1,1,3,3,1,0,1,2,1,1,0,0,1,0,2,2,1,1,1,2,36,1,0,1,0,1,2,1,0,0,1,2
0,3,4,1,0,8,9,0,0,5,4,0,2,1,0,1,2,2,0,0,0,1,0,0,2,2,1,2,2,14,0,0,0,2,0,1,1,0,0,1,2
1,4,8,0,1,7,7,0,3,5,1,2,2,1,0,1,1,1,1,0,0,0,0,2,2,2,2,1,2,22,0,0,1,1,0,2,1,0,0,0,2
0,2,9,1,0,7,7,0,3,2,4,3,3,1,0,1,1,2,1,1,0,1,2,0,2,2,1,1,2,15,0,1,1,2,1,2,1,1,0,1,2
0,2,8,0,0,8,7,0,3,2,5,3,3,2,0,1,2,2,0,0,0,0,0,2,2,0,2,2,2,22,0,0,1,2,0,2,1,1,0,1,2
1,5,8,0,0,8.2,10,0,2,2,1,2,1,1,0,1,1,2,1,0,0,1,0,0,2,2,0,2,2,14,0,1,1,0,0,0,1,0,0,1,2
0,5,8,1,0,8,8,0,1,2,1,2,0,1,0,1,1,2,0,0,1,0,0,0,2,2,1,2,2,14,1,1,0,1,1,2,0,0,0,1,1
1,5,8,0,1,8,8,0,0,0,1,0,4,1,0,1,1,0,0,0,0,1,0,2,2,2,2,1,2,14,0,0,0,2,0,0,0,0,0,1,2
1,1,5,1,1,7,7.5,2,2,1,4,2,2,1,0,1,1,1,0,0,2,1,0,0,1,2,1,1,1,14,1,1,0,1,1,2,0,0,0,0,1
0,2,9,0,0,5.6,15,0,0,2,5,2,3,1,0,1,1,1,0,0,2,1,0,0,2,2,2,1,2,14,0,0,0,2,0,2,1,0,0,0,2
0,3,8,0,0,8,10,0,0,2,1,2,3,2,0,1,2,2,0,0,0,1,0,0,2,2,1,2,2,14,0,0,1,2,0,2,1,0,0,1,2
1,1,8,1,0,7,10,0,2,2,1,3,3,1,0,1,1,2,0,0,0,1,0,0,2,2,1,2,2,14,0,0,1,2,1,2,1,1,0,1,2
1,2,8,1,1,5,8,0,0,2,1,0,0,1,0,1,1,2,1,0,0,1,0,0,2,1,1,1,2,14,0,1,1,1,1,2,1,0,0,1,2
1,1,2,1,0,7,8,0,2,2,5,3,3,1,0,1,2,2,0,0,1,0,2,2,2,2,2,2,2,14,0,0,0,2,0,2,1,0,0,0,2
0,1,2,1,0,8,10,0,1,5,1,3,1,1,0,1,2,0,0,0,0,0,0,2,2,0,2,2,0,14,0,0,0,1,0,1,0,0,0,1,4
0,1,8,1,0,8,8,0,1,5,1,3,3,1,0,2,2,2,1,0,1,1,0,0,2,2,2,2,2,14,0,1,0,1,0,1,1,0,0,1,2
1,2,6,0,0,8,10,0,1,2,1,2,0,2,0,1,1,2,1,0,1,1,0,0,2,0,0,2,2,14,0,1,1,2,0,1,1,0,0,1,2
0,2,2,1,0,5,7,1,3,2,1,3,3,1,0,2,2,2,0,0,1,1,0,0,2,2,2,2,2,14,0,0,0,2,0,1,1,0,0,0,2
0,2,2,0,0,7,8,1,1,1,5,3,1,1,0,1,1,2,1,0,1,0,0,0,2,2,1,1,2,13,0,0,0,1,1,0,0,0,0,1,2
1,1,2,1,0,8,8,0,3,2,0,3,3,1,0,1,1,2,0,0,1,1,0,0,0,0,2,2,2,17,0,1,0,1,0,2,1,0,0,1,2
1,3,2,1,0,8,10,1,3,5,5,3,0,0,0,1,0,2,0,0,1,0,0,2,2,2,2,2,2,22,0,0,1,1,0,2,1,1,1,1,2
1,1,2,1,0,8,8,0,0,2,1,3,3,2,0,1,2,1,0,0,0,1,0,2,2,2,2,2,2,37,0,0,1,1,0,2,1,0,0,1,2
1,4,8,1,0,8,8,0,2,0,1,3,3,1,0,1,1,1,0,0,2,1,0,2,1,2,1,1,2,14,0,0,0,1,1,2,1,0,0,0,2
0,2,2,1,1,7,9,0,1,2,1,2,0,2,0,1,2,2,1,0,0,1,0,0,2,1,1,2,2,14,0,1,0,2,0,0,1,0,0,0,2
1,1,2,1,0,8,16,0,1,1,5,3,4,2,0,1,2,1,0,0,1,1,0,0,1,2,2,1,2,14,0,0,0,1,0,0,1,0,0,0,2
1,1,2,1,1,5,6,1,3,5,5,3,0,2,0,1,2,2,0,0,1,0,0,2,2,2,2,2,2,14,0,0,0,1,0,0,0,0,0,0,3
0,1,8,1,0,6,6,0,1,5,0,3,0,2,0,1,2,2,0,0,1,0,0,2,2,2,2,2,2,25,0,1,1,2,0,2,1,0,0,1,2
1,5,8,0,0,8,8,0,1,2,1,0,0,1,0,1,1,2,0,0,1,0,0,0,2,2,2,2,2,37,0,0,1,1,0,1,1,0,0,1,2
0,4,8,0,0,7,7,0,0,2,1,2,0,1,0,1,1,2,0,0,0,1,0,0,2,2,1,1,2,14,0,0,0,2,1,0,1,0,0,1,2
0,2,8,1,0,6,7,0,0,2,1,2,3,1,0,1,1,2,1,0,1,1,0,0,0,0,2,2,2,1,0,1,1,2,0,2,1,1,0,1,2
1,3,9,0,0,7,8,0,2,2,1,2,0,1,0,1,1,2,0,0,0,1,2,0,2,2,2,2,2,14,0,0,1,2,0,2,1,0,0,0,2
0,2,2,0,0,6,8,0,0,1,1,3,0,1,0,1,1,2,0,0,0,1,0,2,2,2,1,1,0,14,0,0,1,0,1,0,1,0,0,1,2
0,3,2,1,0,5,6,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,2,2,1,1,2,11,0,1,1,2,1,2,1,0,0,0,2
0,2,8,0,0,6,7,0,0,2,1,3,3,1,0,1,1,2,0,0,1,1,2,2,2,2,2,2,2,14,0,0,0,2,0,2,1,0,0,1,2
1,4,10,0,0,8,10,0,3,1,1,3,0,1,0,1,1,1,0,0,0,1,0,0,2,2,2,1,2,7,0,0,0,1,0,2,1,0,0,1,2
1,1,2,1,0,6,7,2,1,5,5,3,3,1,0,1,1,2,0,0,2,1,0,0,2,1,1,1,1,3,0,1,1,1,1,2,1,0,0,1,2
1,3,2,1,1,6,7,0,3,5,0,2,0,0,0,1,2,2,0,0,0,1,0,0,2,2,2,2,2,14,0,1,1,2,0,1,1,1,0,1,2
0,1,4,1,0,7,14,0,1,5,4,3,0,1,0,1,1,1,1,0,1,0,0,0,2,2,1,1,2,14,0,0,0,1,1,0,0,0,0,0,4
1,4,10,0,0,8,9,0,2,2,0,3,0,1,0,0,2,2,0,0,2,1,2,2,0,0,1,2,0,9,1,1,1,2,0,0,1,1,1,1,2
0,1,2,1,0,5,10,0,0,1,3,1,1,1,0,1,2,1,1,0,1,0,0,0,2,2,1,1,2,14,0,0,0,2,1,2,0,0,0,0,4
0,5,8,1,0,7,9,0,3,0,5,3,3,1,0,1,1,2,1,0,0,0,0,0,2,2,2,1,2,14,0,1,0,2,0,1,1,0,0,1,2
1,1,2,0,0,6,6,0,3,1,1,3,1,2,0,1,2,2,0,0,0,1,0,2,2,2,1,1,2,14,0,0,0,2,0,2,1,0,0,0,2
0,1,2,0,0,7,8,0,1,1,1,3,3,1,0,1,1,2,0,0,1,0,0,2,2,2,2,2,2,14,0,0,1,1,0,2,1,1,0,1,2
1,2,8,0,0,7,8,0,2,1,1,3,4,0,0,1,2,2,1,0,1,0,0,2,0,2,2,2,2,14,0,0,1,2,0,2,1,0,0,1,2
0,1,8,1,0,8,8,0,0,2,5,3,3,1,0,1,1,2,1,1,1,0,0,2,2,2,2,2,2,14,0,1,1,2,0,2,0,1,0,0,2
0,1,5,1,0,6,6,0,1,5,4,2,3,2,0,1,2,2,0,0,0,0,0,0,2,2,2,2,2,14,0,1,0,2,0,2,1,0,0,1,2
1,5,0,1,0,8,8,0,3,4,1,2,4,0,0,1,2,1,0,0,0,0,2,2,2,2,2,2,2,7,0,1,1,1,0,0,1,1,0,1,2
0,1,2,1,0,7,8,0,2,5,1,3,3,1,0,1,1,2,0,0,1,0,0,0,2,2,1,1,2,15,0,0,1,1,0,2,1,0,0,1,2
1,4,2,1,0,7,10,0,1,1,5,3,0,1,0,1,1,1,0,0,1,1,0,2,2,0,1,1,1,14,0,1,0,2,1,2,0,0,0,1,2
